page_id,query,actual,predicted,correct
c994ba06-4459-402a-85d3-6b9cdcc973d7,"Health Check는 어떻게 진행되며, 참여하기 위해 따로 준비해야 할 것이 있나요?",문화/ 팀빌딩,문화/ 팀빌딩,True
c965905a-015c-4135-b792-c2a8fef0d629,비용 원칙에 따라 법인카드를 사용할 때 어떤 구체적인 기준을 따라야 하나요?,원칙/ 철학,원칙/ 철학,True
c619ae6a-cf5e-4d5d-8fd5-9beca8b8fca7,flex Story Session에 참여하려면 어떤 절차를 따라야 하나요?,문화/ 팀빌딩,문화/ 팀빌딩,True
c18cd85b-3537-4558-9d56-54f708a6211d,6세 이하 자녀 비과세 제도를 신청하려면 어떤 절차를 따라야 하나요?,생활 지원,생활 지원,True
ba4a7519-8d99-4168-9da4-527511e19f55,장거리 출장 시 자차를 이용할 때 어떤 조건을 충족해야 유류비 지원을 받을 수 있나요?,업무 지원,업무 지원,True
b2a3dd6b-52ef-4f0e-a4f9-2eb6faa13136,"휴게시간을 사용해야 할 경우, 사전에 등록해야 하는 절차가 어떻게 되나요?",근무 제도,근무 제도,True
ac3bf286-1750-4315-978d-eae94204e289,건강보험 피부양자를 등록하려면 어떤 서류가 필요한가요?,생활 지원,생활 지원,True
a974b73e-3c9c-42cf-a558-efcb7883f618,8층 라운지에서 식사할 때 주의해야 할 음식 종류는 무엇인가요?,오피스,오피스,True
a5105411-34e3-4090-82f6-dd94437d8256,개인정보파일을 암호화하지 않고 30일 이상 사용하는 방법이 궁금해요. 어떤 절차를 따라야 하나요?,업무 지원,구성원을 위한 개인정보 처리방침,False
a232ac39-11df-45ea-9613-5f4d4c7c559a,Sig 모임의 지원금을 사용하려면 최소 몇 명이 모여야 하나요?,문화/ 팀빌딩,문화/ 팀빌딩,True
a17755b1-50b4-4ae0-96bd-007d249d6e61,소모품 신청 시 사용 목적을 어떻게 구체적으로 작성해야 하나요?,업무 지원,업무 지원,True
9feaa6c3-67ff-48eb-aa7a-38cfeb0aace2,개인정보 처리방침이 변경된 이유와 주요 변경 사항은 무엇인가요?,구성원을 위한 개인정보 처리방침,구성원을 위한 개인정보 처리방침,True
9f102f85-eaeb-404a-8521-9f75e30cbe80,명함 신청할 때 추가 수량이 필요하면 어떻게 요청해야 하나요?,업무 지원,업무 지원,True
9e0d6800-4f45-4789-a291-3080a44f767f,수평 커뮤니케이션에서 존댓말을 사용해야 하는 이유는 무엇인가요?,협업 방식,협업 방식,True
9df5a2d1-b7c9-45e7-8fe4-39f59fbb90fd,성과 향상 프로그램(PIP)에 참여하려면 어떤 절차를 따라야 하나요?,성과/성장,성과/성장,True
9b5903dc-b33e-4001-bc06-60035af26b9c,회의실 사용 후 청소는 어떻게 해야 하나요?,오피스,오피스,True
994a897c-e55a-4092-b5a3-9d961be8d3a2,"신규 입사자인데 연차휴가는 어떻게 부여되며, 사용 시 주의할 점은 무엇인가요?",근무 제도,근무 제도,True
96ba5ecf-fc38-403c-9bb6-89452a13be71,주차 등록을 신청하면 언제부터 주차를 이용할 수 있나요?,생활 지원,오피스,False
96972f03-2173-475c-822f-c82a8b8c533c,"Product 세션은 언제 진행되며, 어떻게 참여할 수 있나요?",온보딩,온보딩,True
95c7303c-6f7b-4a35-a1f5-34cdb69e43e5,"flex Team의 월간 운영 비용은 어떻게 기록되며, 지출 비용이 추가되거나 변경될 경우 어떻게 업데이트되나요?",업무 지원,기타,False
8e2af535-360d-4a64-a010-d964ba12cb0e,채용 프로세스의 각 단계에서 어떤 평가 기준이 적용되나요?,채용,채용,True
8c727fbd-c31e-4890-b08c-ed898269aea4,해피밀 신청할 때 주제는 어떻게 정해야 하나요?,문화/ 팀빌딩,기타,False
8bc8b128-1400-43c6-b817-5390700c4c0f,복합기를 사용하려면 사원증 등록을 어떻게 하나요?,업무 지원,업무 지원,True
889b4b61-95ff-4e72-bb79-874c60782b31,7층과 8층의 구조를 비교할 수 있는 방법이 있나요?,오피스,오피스,True
880d0b88-5fba-4ff0-a1be-a801ff9d4437,법인차량을 이용하려면 어떻게 예약해야 하나요?,업무 지원,업무 지원,True
86ea8b52-1c5a-4452-ab2e-31954e36e33a,온보딩 서베이는 어디에서 작성할 수 있나요?,온보딩,온보딩,True
81dc7725-f11f-4e7e-8e2a-16ab692b039e,출퇴근 교통비 지원을 받으려면 어떤 절차를 따라야 하나요?,생활 지원,생활 지원,True
728b0e28-c86c-49f9-8905-3efe4a25b43d,"flex Lounge에서 음료를 주문할 때, 개인 컵을 가져오지 못하면 어떻게 하나요?",오피스,오피스,True
70f851d1-30d0-4ecf-a647-99f8c97b2806,"입사 당일에 카카오T 비즈니스 초대를 받지 못한 경우, 어떻게 연락해야 하나요?",업무 지원,업무 지원,True
689c2a83-1ecf-481c-9744-9600f8cd2b06,"VPN 연결이 실패할 때, 어떤 에러코드가 발생할 수 있나요?",업무 지원,업무 지원,True
64092ce4-3947-4ec9-82f6-cf88051f40c2,취업 규칙을 확인하려면 어디에서 찾아볼 수 있나요?,원칙/ 철학,원칙/ 철학,True
5e0c5898-cc5b-42f2-a20f-60cb14722af7,생일 당일에 무료 제공되는 메뉴에는 어떤 것들이 포함되나요?,생활 지원,기타,False
5de7c501-a37a-49f0-84fd-06f18cf67dac,지난 반기 회고에서 어떤 내용을 나눴는지 자료를 확인하려면 어떻게 해야 하나요?,협업 방식,협업 방식,True
5cd30f43-efc0-4de9-a17b-27bf65ff3a66,추천 도서 목록은 어디에서 확인할 수 있나요?,리더십,리더십,True
5ca5100b-4a84-4c84-8eab-e3d2ef9dd976,너나들이에 참여하려면 사전에 어떤 절차를 따라야 하나요?,문화/ 팀빌딩,문화/ 팀빌딩,True
5aa20df1-3c70-44dd-84ba-c003a2a0d9d0,결혼식 화환을 신청하려면 어떻게 해야 하나요?,생활 지원,기타,False
544cac6c-5139-46a9-946d-a445bf2042f0,"업무 중에 내 PC가 고장났는데, 이 경우 팀에서 모든 수리 비용을 부담하나요?",업무 지원,업무 지원,True
540c96b1-3193-4214-9125-34997f5fda8a,7층에서 문서 세단기를 어떻게 이용하나요?,오피스,오피스,True
5218d5a4-2236-4421-8585-0efb49908474,헬스키핑룸을 예약할 때 구글 캘린더에서 어떻게 진행해야 하나요?,생활 지원,오피스,False
52188e60-f8c8-4428-9e27-a1c85a843085,"온보딩 프로세스에서 Spring Camp는 어떻게 진행되며, 각 날짜별로 어떤 내용이 포함되나요?",온보딩,온보딩,True
4ace761b-2a7a-4306-bdd5-d540944a980e,"슬랙에서 팀 문화 관련한 도움을 요청하고 싶은데, 어떻게 해야 하나요?",업무 지원,문화/ 팀빌딩,False
49ef0216-b596-4cd1-a006-37f80a1014f5,"구글밋에서 마이크와 카메라를 사용할 수 없을 때, 어떤 조치를 먼저 취해야 하나요?",업무 지원,업무 지원,True
3f899df6-560b-4853-aadb-5052514bc640,지문 등록 후 삭제 요청을 하지 않으면 언제 자동으로 삭제되나요?,업무 지원,구성원을 위한 개인정보 처리방침,False
3cff2ccc-7f40-4b8e-af46-f619813eee94,원격근무를 신청할 때 필요한 절차는 무엇인가요?,근무 제도,근무 제도,True
3a732a4d-033c-4bef-b849-a5c966aff386,"일일 스탠드업 미팅은 매일 몇 시에 시작되며, 어떤 내용을 공유해야 하나요?",협업 방식,협업 방식,True
35d8424d-d3be-4845-a1fb-88c3615f27ae,대출 신청 시 필요한 서류는 무엇인가요?,생활 지원,기타,False
358a535c-1530-4e2b-96b2-6f7a845815c8,소프트웨어 신청을 위해 보안성 검토는 어떻게 진행하나요?,업무 지원,업무 지원,True
30797371-470a-4f4b-9bd9-e6dbb16ef862,"퇴사 절차를 진행할 때, 퇴사 면담은 어떻게 이루어지며 어떤 내용을 다루게 되나요?",오프보딩,오프보딩,True
2dd415d2-6b0c-4673-b093-992f81d07627,"사원증을 잃어버렸는데, 재발급 신청은 어떻게 하나요?",업무 지원,업무 지원,True
2aa9646c-6a25-47db-9177-32a51907e7fe,내가 입사한 팀의 리드와 팀 버디는 누구인지 어떻게 확인할 수 있나요?,온보딩,온보딩,True
27e18fec-6059-4476-adc3-fd6c864d21f6,"건강검진을 받으려면 입사 1년이 지난 후에만 예약이 가능한데, 만약 2024년 9월에 입사했다면 언제부터 검진 예약이 가능한가요?",생활 지원,생활 지원,True
24727bd4-48d2-4fd2-9805-260791490581,티타임에 참석하기 위해 사전에 어떤 내용을 준비해야 하나요?,온보딩,문화/ 팀빌딩,False
2390ba42-1596-4ecf-a76b-9dd9e06cf59c,"사무실 냉방이 작동하지 않을 때, 개인 냉/난방기를 어떻게 사용하나요?",오피스,오피스,True
229b6389-ca97-4e51-a283-fdffcbd04433,"잡레벨이 변경되는 과정은 어떻게 되며, 변경 시점에 대한 기준은 무엇인가요?",성과/성장,성과/성장,True
222939e6-0d5f-4594-99fe-ad4e077eab95,리더십 역량을 강화하기 위해 어떤 구체적인 방법이나 교육이 필요할까요?,리더십,리더십,True
1fc0592a-4a92-8097-9dd7-d4a5f314a4ec,법인카드를 사용하여 외근 시 대중교통비를 지원받으려면 어떤 절차를 따라야 하나요?,생활 지원,업무 지원,False
1e50592a-4a92-8008-9a83-f8d0896458cc,이번 'Hey Nam! Why?' 세션에 참여하려면 어떻게 질문을 제출해야 하나요?,문화/ 팀빌딩,문화/ 팀빌딩,True
1e00592a-4a92-8094-8493-c16f1bb1c000,리더십 여정을 기록할 때 구체적으로 어떤 내용을 포함해야 하나요?,리더십,리더십,True
1d80592a-4a92-806c-abe9-e0d4d4899830,주차 지원을 받으려면 어떤 절차를 따라야 하나요?,업무 지원,업무 지원,True
1c10592a-4a92-80c9-ab49-ef141ebb2fbb,1on1 미팅에서 어떤 아젠다를 준비하면 좋을까요?,성과/성장,리더십,False
1bd0592a-4a92-8087-9845-eb860538231e,리더십 세션에서 다룰 구체적인 주제들이 어떤 것들이 있는지 더 알고 싶어요.,리더십,리더십,True
1b49ceb6-364a-4542-b7c0-c3213fc4c924,건물 내 이동할 때 엘리베이터와 계단 중 어떤 것을 더 선호해야 하나요?,오피스,기타,False
1930592a-4a92-80de-a66f-d41e27741279,리더십 콘텐츠를 업데이트하려면 어떻게 해야 하나요?,리더십,리더십,True
1930592a-4a92-80d0-8158-fe3d581a4e7f,Lead Standards 실천 선언문에 대한 구체적인 실행 계획은 무엇인지 설명해 주실 수 있나요?,리더십,원칙/ 철학,False
185d3cf2-fd6d-4aae-a200-cc6893e39ee4,저녁 식사는 어떤 경우에 지원되나요?,생활 지원,생활 지원,True
17de7c91-425b-4573-b9b4-7fc9e89c3475,주식매수선택권을 행사하기 위해 필요한 서류는 무엇인가요?,성과/성장,성과/성장,True
17b0592a-4a92-8019-bc1c-c18a38bdc243,"2025년 Base Pay를 Stock Option으로 전환하고 싶은데, 전환 신청은 어떻게 하나요?",성과/성장,성과/성장,True
16d0592a-4a92-8085-bfc8-c40655946b6e,플렉스팀 구성원이 아닌 외부인이 와이파이를 사용하려면 어떤 절차를 따라야 하나요?,업무 지원,오피스,False
1220592a-4a92-8015-9696-d837f62c92f6,장기휴가를 신청하면 유무형 지급품 관리는 어떻게 이루어지나요?,업무 지원,근무 제도,False
1200592a-4a92-801d-8ed1-caa547e9f722,자산 교체 기준 중 '담당직무 변경에 따라 해당 직무에 걸맞는 스펙이 필요할 경우'에 대한 구체적인 예시가 궁금합니다.,업무 지원,성과/성장,False
11954a0a-7a78-4a06-ba79-c36e0fb09486,현재 제공되는 복지 중에서 가장 유용하다고 생각되는 지원은 무엇인가요?,원칙/ 철학,생활 지원,False
0f52bfbf-2b6f-416b-ac21-85f6219b0269,"CFR 대화는 구체적으로 어떤 방식으로 진행되며, 팀원들은 언제 이러한 대화를 나누는 것이 가장 효과적인가요?",리더십,리더십,True
0b6f1ab2-b704-4ef9-8acf-f118c11cf32f,"N주년 세션에 참석하기 위해 사전 소감 미션을 완료해야 한다고 하는데, 미션은 어떻게 제출하나요?",문화/ 팀빌딩,문화/ 팀빌딩,True
0b62efe5-aec1-4870-a12b-b32feede0814,차량유지 비과세 신청을 하려면 어떤 서류를 제출해야 하나요?,생활 지원,생활 지원,True
0aa36cca-15f4-4798-99ea-6f71fc14b163,재직증명서와 경력증명서는 어떻게 발급받을 수 있나요?,생활 지원,오프보딩,False
0a7a4344-1ccb-473e-8582-b25cc1861824,외근 등록 후 슬랙에서 동료들에게 어떻게 공유하나요?,근무 제도,협업 방식,False
